PV Estimate,Period End,Period,Fetched At,Adjusted_PV Estimate,Adjusted_Adjusted_PV Estimate
0.0,2024-11-05 22:30:00+00:00,PT30M,2024-11-05 22:20:33,0.0,0.0
0.0,2024-11-05 23:00:00+00:00,PT30M,2024-11-05 22:20:33,0.0,0.0
0.0,2024-11-05 23:30:00+00:00,PT30M,2024-11-05 22:20:33,0.0,0.0
0.0,2024-11-06 00:00:00+00:00,PT30M,2024-11-05 22:20:33,0.0,0.0
0.0,2024-11-06 00:30:00+00:00,PT30M,2024-11-05 22:20:33,0.0,0.0
0.0,2024-11-06 01:00:00+00:00,PT30M,2024-11-05 22:20:33,0.0,0.0
0.0,2024-11-06 01:30:00+00:00,PT30M,2024-11-05 22:20:33,0.0,0.0
0.0,2024-11-06 02:00:00+00:00,PT30M,2024-11-05 22:20:33,0.0,0.0
0.0,2024-11-06 02:30:00+00:00,PT30M,2024-11-05 22:20:33,0.0,0.0
0.0,2024-11-06 03:00:00+00:00,PT30M,2024-11-05 22:20:33,0.0,0.0
0.0,2024-11-06 03:30:00+00:00,PT30M,2024-11-05 22:20:33,0.0,0.0
0.0,2024-11-06 04:00:00+00:00,PT30M,2024-11-05 22:20:33,0.0,0.0
0.0,2024-11-06 04:30:00+00:00,PT30M,2024-11-05 22:20:33,0.0,0.0
0.0,2024-11-06 05:00:00+00:00,PT30M,2024-11-05 22:20:33,0.0,0.0
0.0,2024-11-06 05:30:00+00:00,PT30M,2024-11-05 22:20:33,0.0,0.0
0.0,2024-11-06 06:00:00+00:00,PT30M,2024-11-05 22:20:33,0.0,0.0
0.0,2024-11-06 06:30:00+00:00,PT30M,2024-11-05 22:20:33,0.0,0.0
0.0,2024-11-06 07:00:00+00:00,PT30M,2024-11-05 22:20:33,0.0,0.0
0.0022,2024-11-06 07:30:00+00:00,PT30M,2024-11-05 22:20:33,0.0018139634363852559,0.0023520525656245
0.0352,2024-11-06 08:00:00+00:00,PT30M,2024-11-05 22:20:33,0.029023414982164094,0.0376328410499933
0.0901,2024-11-06 08:30:00+00:00,PT30M,2024-11-05 22:20:33,0.07429004800832344,0.0963272437103524
0.1755,2024-11-06 09:00:00+00:00,PT30M,2024-11-05 22:20:33,0.14470481049346018,0.1876296478486885
0.3257,2024-11-06 09:30:00+00:00,PT30M,2024-11-05 22:20:33,0.2685490414684899,0.3482106911926945
0.517,2024-11-06 10:00:00+00:00,PT30M,2024-11-05 22:20:33,0.4262814075505351,0.5527323529217781
